variable,estimate,p_value,r_squared,signif
DIAM_MOY,-0.7477541687282987,0.00447301215686279,0.25448350500081063,**
VOL_HA_MOY,-0.034975600243429106,0.021195265470445653,0.08970256195581565,*
VOL_MOYEN_GRUME,0.04853866378699812,0.02268027172957626,0.09416560649398267,*
LON,1.6004750862091768,0.026760906808394946,0.08316331656868961,*
LONGUEUR_MIN,0.014425288476537027,0.05987633053802967,0.06074079864242803,.
PRIX_VENTE_MOY,0.0014068417355221463,0.06713502809628001,0.06420955617106247,.
LONGUEUR_MOY,0.013601250488911571,0.10404386893197066,0.04568869361840408,
G_TOT_MOY,-0.02491937825880466,0.19018875910514063,0.02991594061238634,
NB_TIGES_CONT,8.94065728190831e-4,0.21646821699947275,0.026673928892131375,
LONGUEUR_MAX,0.009370405641064958,0.24641573670673222,0.023497148669612007,
DEP,-15.000000000000004,0.27860985124275217,0.4568373103739372,
NB_GRUMES,-0.002183258357355932,0.30726755022339286,0.018943509650401237,
ESSENCE_DOM,-7.582230318958898,0.38093788951051366,0.23555203200531274,
HA_DES_TOT,-1.4165782898089448e-4,0.6066096939118024,0.0046815765679045955,
PEUPLEMENT_MODE,1.6895542323554642,0.6243737080618541,0.008255467855158474,
NB_LIGNES,0.09562999763038385,0.6544552703139435,0.003539223307298299,
VOL_PREVU,-4.6013099157306037e-4,0.6662708281281975,0.0032864028334764744,
VOL_REEL_M3,-1.3739631601217937e-4,0.726773302917709,0.002158552457338614,
LAT,0.0848500838584235,0.9212771156595709,1.7283502057841477e-4,
FRT,-8.763834114851526e-15,0.9999999999999991,0.9276251748222728,
