"ID_CHANTIER","DEP","FRT","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","COUT_DEB_M3","COUT_ABA_M3","COUT_MONTAGE_TOTAL","COUT_MONTAGE_M3","COUT_TRANSFERT_TOTAL","VOL_REEL_M3","COUT_TRANSFERT_M3","DIAM_MOY","VOL_MOYEN_GRUME","PRIX_VENTE_MOY","NB_GRUMES","G_TOT_MOY","VOL_HA_MOY","HA_DES_TOT","NB_TIGES_CONT","ESSENCE_DOM","PEUPLEMENT_MODE","DEBUT_CHANTIER","FIN_CHANTIER","DEBUT_PREVU","FIN_PREVU","NB_LIGNES_TOTAL","JOURS_TOTAL","JOURS_EFFECTIFS","COUT_VARIABLES_M3","COUT_FIXES_M3","TARIF_PRESTA_M3","LONGUEUR_MOY","altitude_centroide","altitude_moy","pente_moy","VITESSE_DEBARDAGE_M3_JOUR"
"MS3","39","Forêt domaniale de Chaux",2334,12,300,500,29.3322316313382,5.5,6000,1.80355607150619,2317,3326.761,0.696473236279973,53.6044776119404,2.03070218772054,199.141993351983,1418,35.9928571428571,104.374285714286,44.86,2215,"AUTRES FEUILLUS","Futaie sur souche ou TSF en conversion",19376,20389,19329,20407,15,1014,702.857142857143,34.8322316313382,2.50002930778616,37.3322609391243,400,193,377.892395019531,3.12737560272217,4.73319654471545
"MS4","21","Forêt domaniale de Saulieu",566,2,550,550,18.5,10.2,6500,1.80555555555556,3700,3600,1.02777777777778,NA,6.47835866261398,313.015297709924,658,153.483333333333,282.41,17.35,3749,"EPICEA COMMUN","futaie régulière",19520,19559,19359,19477,2,40,25.7142857142857,28.7,2.83333333333333,31.5333333333333,550,326.299987792969,721.749938964844,2.38481259346008,140
"MS5","71","Forêt domaniale d'Anost",600,2,110,380,14,12,4000,2.98462915982689,2000,1340.2,1.49231457991345,NA,2.46866666666667,139.248333333333,7,152.153333333333,282.146666666667,14.89,6326,"EPICEA COMMUN","futaie régulière",19479,19502,19359,19477,2,24,14.2857142857143,26,4.47694373974034,30.4769437397403,245,630.299987792969,865.422424316406,4.58881187438965,93.814
"MS10_lot1","63","Forêt domaniale d'Ayguebonne",3750,9,150,300,13,13,15000.03,2.80117836000672,11000,5354.9,2.05419335561822,NA,39.2978493150685,2235.82177777778,146,259.231,272.8,11.5,1883,"Sapin>50% et Epicea 20/50%","futaie régulière",19453,19562,19443,19691,9,110,65.7142857142857,26,4.85537171562494,30.8553717156249,225,927.039978027344,940.100402832031,6.6668963432312,81.4876086956522
"MS10_lot2","63","Forêt domaniale d'Ayguebonne",3650,7,100,400,13,14,15000.02,1.72414022988506,8000,8700,0.919540229885057,NA,39.2978493150685,2235.82177777778,146,454.788,390.18,13.9,3751,"EPICEA COMMUN","futaie régulière",19479,19562,19443,19691,7,84,50,27,2.64368045977012,29.6436804597701,250,953.359985351562,963.377563476562,6.8462290763855,174
"MS18","88","Forêt domaniale de Saint-Maurice Et Bussang",3026,18,140,435,19.4728027869054,12.5054397935262,27800,3.60868321875331,1690,7703.641,0.219376785600471,35.5008688097307,2.31076319018405,155.378090303479,2445,66.2734,140.818,42.91,1901,"SAPIN PECTINE","futaie régulière",19627,20285,19800,20422,21,659,440.714285714286,31.9782425804316,3.82806000435379,35.8063025847854,287.5,444.850006103516,827.085998535156,22.7915630340576,17.479898541329
"MS19_lot1","25","Forêt domaniale de Levier Jura",600,2,360,370,NA,13.999993808155,3955,3.06109338695471,NA,1292.022,NA,38.5838779956427,1.41072549019608,105.724749455338,459,50.967,100.72,7.06,258,"SAPIN PECTINE","futaie régulière",19705,19705,19618,19722,2,1,-2.14285714285714,NA,NA,NA,365,715.950012207031,711.3720703125,4.96870613098145,NA
"MS19_lot2","25","Forêt domaniale de Levier Scay",1200,4,180,450,NA,14,6700,2.24625679744128,2250,2982.74,0.754339969289982,45.7531003382187,1.88645095828636,128.058229988726,887,133.43,372.32,5,466,"AUTRES RESINEUX","futaie régulière",19632,19704,19618,19722,4,73,46.4285714285714,NA,3.00059676673126,NA,315,744.219970703125,736.628479003906,5.12871313095093,64.2436307692308
"MS20","63","Forêt sectionale de Saint-Julien-Puy-Laveze",2050,3,535,650,16.065337628396,13.3855223971312,14100,4.28493283899593,2700,3290.6,0.820519054275816,NA,3.70155295566502,214.793444444444,812,117.18725,79.025,53.36,6892,"EPICEA COMMUN","futaie régulière",19891,20290,19590,20453,9,400,272.857142857143,29.4508600255273,5.10545189327174,34.556311918799,592.5,1118.69995117188,1239.36047363281,13.4433193206787,12.0597905759162
"MS21","63","Forêt domaniale de Guery",1800,7,320,540,13.8,13,17990,6.1906400550585,1200,2906,0.412938747419133,NA,15.715,847.953480662984,182,62.5653333333333,188.123333333333,21.31,1271,"résineux en mélange","futaie régulière",19913,19991,19905,20088,7,79,46.4285714285714,26.8,6.60357880247763,33.4035788024776,430,269.100006103516,864.100524902344,18.2000789642334,62.5907692307692
"MS22","04","Forêt communale de Castellet Les Sausses",900,5,200,390,NA,17.5,12500,6.94444444444444,5500,1800,3.05555555555556,NA,85.1266,6938.268,16,81.79575,154.1275,31.51,5036,"PIN SYLVESTRE","futaie régulière",19573,19744,19520,19676,5,172,115.714285714286,NA,10,NA,295,807.25,1257.68359375,20.0256862640381,15.5555555555556
"MS23","39","Forêt domaniale de Chaux",1765,8,350,375,27.8216055500496,NA,NA,NA,NA,2018,NA,49.1230283911671,2.08824745497259,189.252289983516,1277,47.704,76.3633333333333,25.48,709,"HETRE","futaie régulière",19725,19917,19632,19797,8,193,126.428571428571,NA,NA,NA,362.5,259.720001220703,258.062042236328,1.73771524429321,15.961581920904
"MS24_lot1","39","Forêt domaniale de Chaux",895,2,360,360,29.097510373444,13,NA,NA,NA,1926,NA,45.6720647773279,3.52530923694779,170.089116465863,249,83.582,110.63,8.91,1736,"Chêne en mélange","Futaie sur souche ou TSF en conversion",19741,19795,19632,19797,2,55,36.4285714285714,42.097510373444,NA,NA,360,234.970001220703,236.914611816406,1.54912400245667,52.8705882352941
"MS24_lot2","39","Forêt domaniale de Chaux",505,2,420,420,27.8216055500496,NA,NA,NA,NA,2018,NA,49.1230283911671,2.08824745497259,189.252289983516,1277,31.279,65.27,8.43,122,"Chêne en mélange","Futaie sur souche ou TSF en conversion",19725,19917,19632,19797,2,193,135,NA,NA,NA,420,236.179992675781,236.507247924805,0.935746371746063,14.9481481481481
"MS26","68","Forêt communale de Wolschwiller",1200,17,190,460,34.953488372093,15,NA,NA,NA,1640,NA,34.812030075188,16.4350207612457,602.607411764706,289,81.0962,140.674,57.55,6208,"SAPIN PECTINE","futaie régulière",19809,20047,19576,19660,17,239,146.428571428571,49.953488372093,NA,NA,325,194.809997558594,571.534118652344,18.8284816741943,11.2
"MS27","58","Forêt domaniale de Breuil-Chenue",1300,3,100,160,22,7.50000766142625,11900,4.55854861941099,NA,2610.48,NA,NA,37.6870545454545,916.246603773585,57,104.1908,195.744,39.31,6433,"Provisoire","Non déterminé",19766,19811,19632,19722,3,46,28.5714285714286,29.5000076614263,NA,NA,130,344.570007324219,492.720367431641,24.2471694946289,91.3668
"MS29","70","Forêt communale de Senargent-Mignafans",1023,2,460,530,14,11,4500,2.61795334225377,4000,1718.9,2.3270696375589,61.4305555555556,2.6035529953917,614.531778290993,437,41.3192,87.962,39.49,851,"CHENES INDIGENES","futaie régulière",19721,19809,19674,19797,2,89,60.7142857142857,25,4.94502297981267,29.9450229798127,495,127.300003051758,169.001113891602,3.93100762367249,28.3112941176471
"MS30","68","Forêt domaniale de Ribeauvillé",2000,4,190,280,23,8,6000,2.47116968698517,6000,2428,2.47116968698517,49.5111111111111,21.9785061728395,895.365466666667,84,56.547,82.582,37.49,3935,"CHENE PEDONCULE","Futaie sur souche ou TSF en conversion",19804,19961,19660,19828,4,158,107.142857142857,31,4.94233937397035,35.9423393739703,235,246.5,360.670562744141,9.34812259674072,22.6613333333333
"MS31_lot1","44","Forêt domaniale du Gâvre",925,4,160,440,NA,24.8044448438495,13500,10.8320802889839,7000,1246.298,5.61663422391755,44.3884297520661,1.76905034013605,367.249197278912,735,29.686,92.95,10.33,286,"CHENES INDIGENES","futaie régulière",19774,19795,19667,19797,4,22,10,NA,16.4487145129014,NA,300,42.4000015258789,43.217960357666,1.49923813343048,124.6298
"MS31_lot2","44","Forêt domaniale du Gâvre",140,2,105,135,NA,24.8044448438495,13500,10.8320802889839,7000,1246.298,5.61663422391755,44.3884297520661,1.76905034013605,367.249197278912,735,14.22,125.09,1.5,76,"CHENES INDIGENES","futaie régulière",19774,19795,19667,19797,2,22,12.8571428571429,NA,16.4487145129014,NA,120,37.5999984741211,36.7834358215332,1.4717983007431,96.9342888888889
