variable,estimate,p_value,r_squared,signif
VOL_REEL_M3,-0.0014325339118281665,1.9240754726802883e-5,0.24328382988729644,***
LAT,1.4026595885080677,0.0037714698153636468,0.12022406810807901,**
G_TOT_MOY,-0.031120334788430352,0.004324556562086599,0.11688136251440147,**
NB_TIGES_CONT,-8.289556831011011e-4,0.06433215880252836,0.05090023394534488,.
VOL_HA_MOY,-0.012777784459970354,0.07303197989332202,0.04787456430897795,.
VOL_MOYEN_GRUME,-0.015849422020931304,0.2213329337953007,0.024025921259719446,
HA_DES_TOT,-1.839476125234445e-4,0.27907479759116116,0.017727136650529843,
DEP,-5.035675347015033,0.3353125061552038,0.725103161415898,
NB_LIGNES,0.1257954994487077,0.3560942663789586,0.012917203252614142,
PRIX_VENTE_MOY,-3.798259982382746e-4,0.40320653460589106,0.011674380705158631,
VOL_PREVU,-5.694771483581977e-4,0.45247055519642454,0.008580321899444179,
LON,-0.18615404597139376,0.6032914290774438,0.0041144371488640846,
LONGUEUR_MAX,-0.001894835643300122,0.6864034442143248,0.00248547867509119,
NB_GRUMES,4.1820280379080383e-4,0.7034577388352381,0.002279211018151852,
ESSENCE_DOM,1.037668862851986,0.7916059648008346,0.5675377237689944,
LONGUEUR_MOY,-0.0013306811937947279,0.7967294876828552,0.0010124113596849317,
DIAM_MOY,0.023570806394021586,0.8424505701804613,9.995580853718908e-4,
LONGUEUR_MIN,-3.2694346225836733e-4,0.9465405425149753,6.86358084933667e-5,
FRT,8.580808480879403e-15,0.9999999999999987,0.9213071666846099,
