ACCORD_CADRE;ID_CHANTIER;NUM_SAP;NUM_ETF;AGENCE;CENTRE_PROFIT;POSTE;ARTICLE;LIBELLE_ARTICLE;LIBELLE_POSTE;PU_COMMANDE;UNITE;QUANTITE_COMMANDE;DATE_RECEPTION;QUANTITE_RECEPTION;MONTANT_RECEPTION
2022-2024;MS3;4501531192;1;8415;841522;60;04-EXPL-DBC01;Débardage par câble;mise en place démolition chantier;6000;M3;1;2023-01-19;1;6000
2022-2024;MS3;4501531192;1;8415;841522;110;04-EXPL-DBC01;Débardage par câble;MONTAGE DE LIGNES;2400;M3;3;2023-05-16;3;7200
2022-2024;MS4;4501554573;2;8455;845505;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD SAULIEU;4000;U;1;2023-06-12;1;4000
2022-2024;MS5;4501548552;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ANOST;4000;U;1;2023-05-02;1;4000
2022-2024;MS10_lot1;4501547859;3;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;AYGUEBON 4U 7U - Montage/démontage câble;1666.67;U;9;2023-04-06;2;3333.34
2022-2024;MS10_lot1;4501547859;3;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;AYGUEBON 4U 7U - Montage/démontage câble;1666.67;U;9;2023-05-16;3;5000.01
2022-2024;MS10_lot1;4501547859;3;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;AYGUEBON 4U 7U - Montage/démontage câble;1666.67;U;9;2023-06-02;1;1666.67
2022-2024;MS10_lot1;4501547859;3;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;AYGUEBON 4U 7U - Montage/démontage câble;1666.67;U;9;2023-07-24;3;5000.01
2022-2024;MS10_lot2;4501547849;1;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;AYGUEBON 4U 7U - Montage/démontage câble;2142.86;/FO;7;2023-05-02;2;4285.72
2022-2024;MS10_lot2;4501547849;1;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;AYGUEBON 4U 7U - Montage/démontage câble;2142.86;/FO;7;2023-05-16;1;2142.86
