"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS3","4501531192",1,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Abattage grumes feuillus",13,"M3",300.37,2023-01-19,170,2210,15,"ABATTAGE"
"2022-2024","MS3","4501531192",1,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Abattage grumes feuillus",13,"M3",300.37,2023-04-14,77.18,1003.34,16,"ABATTAGE"
"2022-2024","MS3","4501531192",1,8415,841522,40,"04-EXPL-DBC01","Débardage par câble","Abattage grumes feuillus",13,"M3",300.37,2023-05-02,53.19,691.47,17,"ABATTAGE"
"2022-2024","MS3","4501531192",1,8415,841522,50,"04-EXPL-DBC01","Débardage par câble","Abattage bois énergie",13,"M3",110,2023-01-19,110,1430,18,"ABATTAGE"
"2022-2024","MS4","4501554573",2,8455,845505,10,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD SAULIEU",12,"M3",800,2023-06-12,280,3360,27,"ABATTAGE"
"2022-2024","MS4","4501554573",2,8455,845505,10,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD SAULIEU",12,"M3",800,2023-07-21,520,6240,28,"ABATTAGE"
"2022-2024","MS5","4501548552",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ANOST",12,"M3",612.3,2023-05-02,612.3,7347.6,35,"ABATTAGE"
"2022-2024","MS5","4501548552",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ANOST",12,"M3",57.8,2023-05-25,57.8,693.6,37,"ABATTAGE"
"2022-2024","MS10_lot1","4501547859",3,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage-façonnage",13,"M3",3750,2023-04-24,1000,13000,45,"ABATTAGE"
"2022-2024","MS10_lot1","4501547859",3,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage-façonnage",13,"M3",3750,2023-05-16,300,3900,46,"ABATTAGE"
"2022-2024","MS10_lot1","4501547859",3,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage-façonnage",13,"M3",3750,2023-06-02,500,6500,47,"ABATTAGE"
"2022-2024","MS10_lot1","4501547859",3,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage-façonnage",13,"M3",3750,2023-07-24,877.45,11406.85,48,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",3750,2023-05-02,400,5600,60,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",3750,2023-05-16,500,7000,61,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",3750,2023-06-02,600,8400,62,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",3750,2023-06-23,1000,14000,63,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",3750,2023-06-30,500,7000,64,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",3750,2023-07-24,750,10500,65,"ABATTAGE"
"2022-2024","MS10_lot2","4501547849",1,8835,883505,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AYGUEBON 4U 7U - Abattage",14,"M3",600,2023-07-24,600,8400,72,"ABATTAGE"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",3026,2023-09-27,1300,15600,78,"ABATTAGE"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",3026,2023-12-13,464.07,5568.84,79,"ABATTAGE"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",3026,2024-02-21,40.3,483.6,80,"ABATTAGE"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",3026,2024-08-13,1586.76,19041.12,81,"ABATTAGE"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",6052,2024-08-14,-1221.63,-14659.56,82,"ABATTAGE"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",3026,2024-09-26,385.98,4631.76,83,"ABATTAGE"
"2022-2024","MS19_lot1","4501572577",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER1J P55",13,"U",646.011,2023-12-14,646.011,8398.14,94,"ABATTAGE"
"2022-2024","MS19_lot2","4501572572",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER3S P174",13,"U",1491.37,2023-10-02,500,6500,98,"ABATTAGE"
"2022-2024","MS19_lot2","4501572572",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER3S P174",13,"U",1491.37,2023-10-30,400,5200,99,"ABATTAGE"
