ACCORD_CADRE,ID_CHANTIER,NUM_SAP,NUM_ETF,AGENCE,CENTRE_PROFIT,POSTE,ARTICLE,LIBELLE_ARTICLE,LIBELLE_POSTE,PU_COMMANDE,UNITE,QUANTITE_COMMANDE,DATE_RECEPTION,QUANTITE_RECEPTION,MONTANT_RECEPTION,ID_LIGNE,TYPE_TRAVAUX
2022-2024,MS31_lot1,4501588924,6,8320,832009,10,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,23,M3,121.861,2024-02-21,121.861,2802.8,215,ABADEB
2022-2024,MS31_lot1,4501588924,6,8320,832009,20,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,791.935,2024-02-21,614.935,15373.38,216,ABADEB
2022-2024,MS31_lot1,4501588924,6,8320,832009,20,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,791.935,2024-03-13,177,4425,217,ABADEB
2022-2024,MS31_lot1,4501588924,6,8320,832009,30,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,332.502,2024-02-21,303.976,7599.4,218,ABADEB
2022-2024,MS31_lot1,4501588924,6,8320,832009,30,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,332.502,2024-03-13,28.526,713.15,219,ABADEB
2022-2024,MS31_lot2,4501588924,6,8320,832009,10,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,23,M3,121.861,2024-02-21,121.861,2802.8,224,ABADEB
2022-2024,MS31_lot2,4501588924,6,8320,832009,20,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,791.935,2024-02-21,614.935,15373.38,225,ABADEB
2022-2024,MS31_lot2,4501588924,6,8320,832009,20,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,791.935,2024-03-13,177,4425,226,ABADEB
2022-2024,MS31_lot2,4501588924,6,8320,832009,30,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,332.502,2024-02-21,303.976,7599.4,227,ABADEB
2022-2024,MS31_lot2,4501588924,6,8320,832009,30,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,332.502,2024-03-13,28.526,713.15,228,ABADEB
2022-2024,MS31_lot4,4501588924,6,8320,832009,10,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,23,M3,121.861,2024-02-21,121.861,2802.8,233,ABADEB
2022-2024,MS31_lot4,4501588924,6,8320,832009,20,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,791.935,2024-02-21,614.935,15373.38,234,ABADEB
2022-2024,MS31_lot4,4501588924,6,8320,832009,20,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,791.935,2024-03-13,177,4425,235,ABADEB
2022-2024,MS31_lot4,4501588924,6,8320,832009,30,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,332.502,2024-02-21,303.976,7599.4,236,ABADEB
2022-2024,MS31_lot4,4501588924,6,8320,832009,30,04-EXPL-AST01,Abattage-façonnage de grumes,GAVRE P 33-89-98,25,M3,332.502,2024-03-13,28.526,713.15,237,ABADEB
2022-2024,MS32,4501585336,6,8320,832006,30,04-EXPL-AST01,Abattage-façonnage de grumes,MERVENT P 23,25,M3,960.101,2023-12-18,350,8750,245,ABADEB
2022-2024,MS32,4501585336,6,8320,832006,30,04-EXPL-AST01,Abattage-façonnage de grumes,MERVENT P 23,25,M3,960.101,2024-02-13,610.101,15252.53,246,ABADEB
2022-2024,MS47,4501611906,3,8845,884505,30,04-EXPL-AST01,Abattage-façonnage de grumes,GRAND ARC pcl 7 Abattage-façonnage,48,M3,1815.58,2024-05-24,65,3120,366,ABADEB
2022-2024,MS47,4501611906,3,8845,884505,30,04-EXPL-AST01,Abattage-façonnage de grumes,GRAND ARC pcl 7 Abattage-façonnage,48,M3,1815.58,2024-07-30,500,24000,367,ABADEB
2022-2024,MS47,4501611906,3,8845,884505,30,04-EXPL-AST01,Abattage-façonnage de grumes,GRAND ARC pcl 7 Abattage-façonnage,48,M3,1815.58,2024-10-21,200,9600,368,ABADEB
2022-2024,MS47,4501611906,3,8845,884505,30,04-EXPL-AST01,Abattage-façonnage de grumes,GRAND ARC pcl 7 Abattage-façonnage,48,M3,1815.58,2024-11-06,200,9600,369,ABADEB
2022-2024,MS47,4501611906,3,8845,884505,30,04-EXPL-AST01,Abattage-façonnage de grumes,GRAND ARC pcl 7 Abattage-façonnage,48,M3,1815.58,2025-01-20,850.58,40827.84,370,ABADEB
2025,MS14,4700283007,1,8693,869308,30,04-EXPL-AST01,Abattage-façonnage de grumes,Abattage-façonnage de grumes,37,M3,400,2025-12-15,365,13505,555,ABADEB
2025,MS38,4700285861,1,8683,868314,10,04-EXPL-ABMAN01,04-EXPL-ABMAN01,SIGFRA VIVEY p.3317 - ABA-DEB manuel,29,M3E,650,2025-12-19,100,2900,640,ABADEB
2025,MS20,4501670169,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 28 29 30 Abattage-façonnage-cubage,24,M3,950,2025-05-27,280,6720,611,ABADEB
2025,MS20,4501670169,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 28 29 30 Abattage-façonnage-cubage,24,M3,950,2025-06-06,320,7680,612,ABADEB
2025,MS20,4501670169,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 28 29 30 Abattage-façonnage-cubage,24,M3,950,2025-07-21,101.3,2431.2,613,ABADEB
2022-2024,MS41,4501649952,4,8345,834503,30,04-EXPL-AST01,Abattage-façonnage de grumes,LARFEUIL P 2E-3B-3E,28,M3,1734,2025-01-22,700,19600,325,ABADEB
2022-2024,MS41,4501649952,4,8345,834503,30,04-EXPL-AST01,Abattage-façonnage de grumes,LARFEUIL P 2E-3B-3E,28,M3,1734,2025-02-10,900,25200,326,ABADEB
2022-2024,MS41,4501649952,4,8345,834503,30,04-EXPL-AST01,Abattage-façonnage de grumes,LARFEUIL P 2E-3B-3E,28,M3,1734,2025-03-25,134,3752,327,ABADEB
2022-2024,MS64,4501658441,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 23 24 25 Abattage-façonnage grumes,25.5,M3,1300,2025-03-06,635.1,16195.05,491,ABADEB
2022-2024,MS64,4501658441,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 23 24 25 Abattage-façonnage grumes,25.5,M3,1300,2025-03-27,200,5100,492,ABADEB
2022-2024,MS64,4501658441,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 23 24 25 Abattage-façonnage grumes,25.5,M3,1300,2025-04-22,-270,-6885,493,ABADEB
2022-2024,MS64,4501658441,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 23 24 25 Abattage-façonnage grumes,25.5,M3,1300,2025-04-24,290.9,7417.95,494,ABADEB
2022-2024,MS64,4501658441,4,8835,883503,30,04-EXPL-AST01,Abattage-façonnage de grumes,GUERY 23 24 25 Abattage-façonnage grumes,25.5,M3,1300,2025-05-21,109,2779.5,495,ABADEB
2025,MS38,4700285861,1,8683,868314,10,04-EXPL-ABMAN01,04-EXPL-ABMAN01,SIGFRA VIVEY p.3317 - ABA-DEB manuel,29,M3E,650,2025-12-19,100,2900,640,ABADEB
2025,MS39,4700285887,1,8683,868314,10,04-EXPL-ABMAN01,04-EXPL-ABMAN01,SIGFRA VOISINES p.3410 - ABA manuel,30,M3E,168,NA,NA,NA,645,ABADEB
2022-2024,MS48,4501624641,4,8835,883508,30,04-EXPL-AST01,Abattage-façonnage de grumes,VERGONZA - battage-façonnage de grumes,19.5,M3,773.18,2024-09-16,773.18,15077.01,373,ABADEB
