ACCORD_CADRE,ID_CHANTIER,NUM_SAP,NUM_ETF,AGENCE,CENTRE_PROFIT,POSTE,ARTICLE,LIBELLE_ARTICLE,LIBELLE_POSTE,PU_COMMANDE,UNITE,QUANTITE_COMMANDE,DATE_RECEPTION,QUANTITE_RECEPTION,MONTANT_RECEPTION,ID_LIGNE,TYPE_TRAVAUX
2022-2024,MS3,4501531192,1,8415,841522,10,04-EXPL-DBC01,Débardage par câble,Débardage   grumes feuillus,21,M3,954.99,2023-01-26,170,3570,1,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,10,04-EXPL-DBC01,Débardage par câble,Débardage   grumes feuillus,21,M3,954.99,2023-02-08,210,4410,2,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,10,04-EXPL-DBC01,Débardage par câble,Débardage   grumes feuillus,21,M3,954.99,2023-02-10,90,1890,3,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,10,04-EXPL-DBC01,Débardage par câble,Débardage   grumes feuillus,21,M3,954.99,2023-03-04,140,2940,4,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,10,04-EXPL-DBC01,Débardage par câble,Débardage   grumes feuillus,21,M3,954.99,2023-04-14,82.27,1727.67,5,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,10,04-EXPL-DBC01,Débardage par câble,Débardage   grumes feuillus,21,M3,954.99,2023-05-02,262.72,5517.12,6,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,20,04-EXPL-DBC01,Débardage par câble,Débardage  grumes résineux,21,M3,29.77,2023-04-14,15.99,335.79,7,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,20,04-EXPL-DBC01,Débardage par câble,Débardage  grumes résineux,21,M3,29.77,2023-05-02,13.78,289.38,8,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,30,04-EXPL-DBC01,Débardage par câble,Débardage bois énergie,21,M3,800.04,2023-01-26,110,2310,9,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,30,04-EXPL-DBC01,Débardage par câble,Débardage bois énergie,21,M3,800.04,2023-02-08,170,3570,10,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,30,04-EXPL-DBC01,Débardage par câble,Débardage bois énergie,21,M3,800.04,2023-02-10,80,1680,11,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,30,04-EXPL-DBC01,Débardage par câble,Débardage bois énergie,21,M3,800.04,2023-03-04,110,2310,12,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,30,04-EXPL-DBC01,Débardage par câble,Débardage bois énergie,21,M3,800.04,2023-04-14,239,5019,13,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,30,04-EXPL-DBC01,Débardage par câble,Débardage bois énergie,21,M3,800.04,2023-05-02,91.04,1911.84,14,DEBARDAGE
2022-2024,MS3,4501531192,1,8415,841522,100,04-EXPL-DBC01,Débardage par câble,Débardage  grumes résineux,21,M3,227.01,2023-05-16,227.01,4767.21,25,DEBARDAGE
2022-2024,MS4,4501554573,2,8455,845505,20,04-EXPL-DBC01,Débardage par câble,DB BO RX FD SAULIEU,15,M3,800,2023-06-12,280,4200,29,DEBARDAGE
2022-2024,MS4,4501554573,2,8455,845505,20,04-EXPL-DBC01,Débardage par câble,DB BO RX FD SAULIEU,15,M3,800,2023-07-21,520,7800,30,DEBARDAGE
2022-2024,MS5,4501548552,1,8455,845514,40,04-EXPL-DBC01,Débardage par câble,D BO RX FD ANOST,14,M3,612.3,2023-05-02,612.3,8572.2,36,DEBARDAGE
2022-2024,MS5,4501548552,1,8455,845514,60,04-EXPL-DBC01,Débardage par câble,DB BO RX FD ANOST,14,M3,57.8,2023-05-25,57.8,809.2,38,DEBARDAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-04-24,1000,13000,49,DEBARDAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-05-16,300,3900,50,DEBARDAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-06-02,500,6500,51,DEBARDAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-07-24,877.45,11406.85,52,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-05-02,400,5200,66,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-05-16,500,6500,67,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-06-02,600,7800,68,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-06-23,1000,13000,69,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-06-30,500,6500,70,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,40,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,3750,2023-07-24,750,9750,71,DEBARDAGE
2022-2024,MS10_lot2,4501547849,1,8835,883505,60,04-EXPL-DBC01,Débardage par câble,AYGUEBON 4U 7U - Débardage par câble,13,M3,600,2023-07-24,600,7800,73,DEBARDAGE
2022-2024,MS18,4700236917,1,8670,867009,20,04-EXPL-DBC01,Débardage par câble,DEB par cable FD SMB 159 153 154,22,M3,3026,2023-10-20,600,13200,84,DEBARDAGE
2022-2024,MS18,4700236917,1,8670,867009,20,04-EXPL-DBC01,Débardage par câble,DEB par cable FD SMB 159 153 154,22,M3,3026,2023-12-13,1164.07,25609.54,85,DEBARDAGE
2022-2024,MS18,4700236917,1,8670,867009,20,04-EXPL-DBC01,Débardage par câble,DEB par cable FD SMB 159 153 154,22,M3,3026,2024-02-21,40.3,886.6,86,DEBARDAGE
2022-2024,MS18,4700236917,1,8670,867009,20,04-EXPL-DBC01,Débardage par câble,DEB par cable FD SMB 159 153 154,22,M3,3026,2024-08-13,365.13,8032.86,87,DEBARDAGE
2022-2024,MS18,4700236917,1,8670,867009,20,04-EXPL-DBC01,Débardage par câble,DEB par cable FD SMB 159 153 154,22,M3,3026,2024-09-26,385.98,8491.56,88,DEBARDAGE
2022-2024,MS19_lot1,4501572577,3,8440,844009,20,04-EXPL-AST01,Abattage-façonnage de grumes,Débardage  cable FD LEVIER1J P55,14,M3,646.011,2023-12-14,646.011,9044.15,95,DEBARDAGE
2022-2024,MS19_lot2,4501572572,3,8440,844009,20,04-EXPL-AST01,Abattage-façonnage de grumes,Débardage  cable FD LEVIER3S P174,14,M3,1491.37,2023-10-30,900,12600,101,DEBARDAGE
2022-2024,MS19_lot2,4501572572,3,8440,844009,20,04-EXPL-AST01,Abattage-façonnage de grumes,Débardage  cable FD LEVIER3S P174,14,M3,1491.37,2023-11-28,591.37,8279.18,102,DEBARDAGE
2022-2024,MS20,4501619216,4,8835,883503,20,04-EXPL-DBC01,Débardage par câble,STJULI63 Débardage par câble,22.8,M3,850,2024-06-17,500,11400,108,DEBARDAGE
2022-2024,MS20,4501619216,4,8835,883503,20,04-EXPL-DBC01,Débardage par câble,STJULI63 Débardage par câble,22.8,M3,850,2024-07-11,350,7980,109,DEBARDAGE
2022-2024,MS20,4501625191,4,8835,883503,20,04-EXPL-DBC01,Débardage par câble,STJULI63 Débardage par câble,22.8,M3,94,2024-07-25,94,2143.2,113,DEBARDAGE
2022-2024,MS21,4501617505,4,8835,883503,40,04-EXPL-DBC01,Débardage par câble,GUERY 17 - Débardage par câble,13.8,M3,1800,2024-07-09,400,5520,119,DEBARDAGE
2022-2024,MS21,4501617505,4,8835,883503,40,04-EXPL-DBC01,Débardage par câble,GUERY 17 - Débardage par câble,13.8,M3,1800,2024-09-25,1053,14531.4,120,DEBARDAGE
2022-2024,MS22,4501568088,3,8730,873012,20,04-EXPL-AST01,Abattage-façonnage de grumes,MS8 Débardage par câble,20,M3,750,2023-08-04,200,4000,124,DEBARDAGE
2022-2024,MS22,4501568088,3,8730,873012,20,04-EXPL-AST01,Abattage-façonnage de grumes,MS8 Débardage par câble,20,M3,750,2023-09-11,300,6000,125,DEBARDAGE
2022-2024,MS22,4501568088,3,8730,873012,20,04-EXPL-AST01,Abattage-façonnage de grumes,MS8 Débardage par câble,20,M3,750,2023-10-03,250,5000,126,DEBARDAGE
2022-2024,MS22,4501592858,3,8730,873012,20,04-EXPL-AST01,Abattage-façonnage de grumes,MS8 Débardage par câble,20,M3,150,2024-01-22,150,3000,132,DEBARDAGE
2022-2024,MS23,4501577090,2,8415,841522,10,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,18,M3,975,2024-01-03,500,9000,134,DEBARDAGE
2022-2024,MS23,4501577090,2,8415,841522,10,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,18,M3,975,2024-04-02,343,6174,135,DEBARDAGE
2022-2024,MS23,4501577090,2,8415,841522,10,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,18,M3,975,2024-04-13,132,2376,136,DEBARDAGE
2022-2024,MS23,4501577090,2,8415,841522,20,04-EXPL-DEB00,Débardage,Débardage BE,18,M3,1033,2024-02-26,841,15138,137,DEBARDAGE
2022-2024,MS23,4501577090,2,8415,841522,20,04-EXPL-DEB00,Débardage,Débardage BE,18,M3,1033,2024-04-02,120,2160,138,DEBARDAGE
2022-2024,MS23,4501577090,2,8415,841522,20,04-EXPL-DEB00,Débardage,Débardage BE,18,M3,1033,2024-07-13,72,1296,139,DEBARDAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,30,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,25,M3,858,2024-01-19,450,11250,150,DEBARDAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,30,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,25,M3,858,2024-02-08,400,10000,151,DEBARDAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,30,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,25,M3,858,2024-03-12,12,300,152,DEBARDAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,30,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,25,M3,1716,2024-03-13,-4,-100,153,DEBARDAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,40,04-EXPL-DBB01,Débardage de bois d'industrie en billons,Débardage de bois d'industrie en billons,25,M3,104,2024-03-12,23,575,154,DEBARDAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,40,04-EXPL-DBB01,Débardage de bois d'industrie en billons,Débardage de bois d'industrie en billons,25,M3,208,2024-03-13,81,2025,155,DEBARDAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,10,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,18,M3,975,2024-01-03,500,9000,158,DEBARDAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,10,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,18,M3,975,2024-04-02,343,6174,159,DEBARDAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,10,04-EXPL-DBG01,Débardage de grumes,Débardage de grumes,18,M3,975,2024-04-13,132,2376,160,DEBARDAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,20,04-EXPL-DEB00,Débardage,Débardage BE,18,M3,1033,2024-02-26,841,15138,161,DEBARDAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,20,04-EXPL-DEB00,Débardage,Débardage BE,18,M3,1033,2024-04-02,120,2160,162,DEBARDAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,20,04-EXPL-DEB00,Débardage,Débardage BE,18,M3,1033,2024-07-13,72,1296,163,DEBARDAGE
2022-2024,MS26,4700246103,5,8693,869317,20,04-EXPL-DBC01,Débardage par câble,Débardage par câble,37,M3,1290,2024-03-27,200,7400,172,DEBARDAGE
2022-2024,MS26,4700246103,5,8693,869317,20,04-EXPL-DBC01,Débardage par câble,Débardage par câble,37,M3,1290,2024-04-30,504,18648,173,DEBARDAGE
2022-2024,MS26,4700246103,5,8693,869317,20,04-EXPL-DBC01,Débardage par câble,Débardage par câble,37,M3,1290,2024-11-20,76,2812,174,DEBARDAGE
2022-2024,MS26,4700246103,5,8693,869317,30,04-EXPL-DBC01,Débardage par câble,Débardage par câble,15,M3,310,2024-04-30,50,750,175,DEBARDAGE
2022-2024,MS26,4700246103,5,8693,869317,30,04-EXPL-DBC01,Débardage par câble,Débardage par câble,15,M3,310,2024-11-20,30,450,176,DEBARDAGE
2022-2024,MS27,4501589705,4,8450,845009,60,04-EXPL-DBC01,Débardage par câble,DB GR R FD BREUIL P50,22,M3,1305.24,2024-02-13,600,13200,182,DEBARDAGE
2022-2024,MS27,4501589705,4,8450,845009,60,04-EXPL-DBC01,Débardage par câble,DB GR R FD BREUIL P50,22,M3,1305.24,2024-02-29,400,8800,183,DEBARDAGE
2022-2024,MS27,4501589705,4,8450,845009,60,04-EXPL-DBC01,Débardage par câble,DB GR R FD BREUIL P50,22,M3,2610.48,2024-03-29,305.24,6715.28,184,DEBARDAGE
