ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,VOL_REEL_ABADEB_M3,COUT_ABADEB_M3
MS1,2025,262,19.5,262,8.5,NA,NA
MS10_lot1,2022-2024,2677.45,13,2677.45,13,NA,NA
MS10_lot2,2022-2024,4350,14,4350,13,NA,NA
MS11,2025,1330,8,1330,21,NA,NA
MS12,2025,641.5,8.5,641.5,20,NA,NA
MS15_lot1,2025,112065,14.317574621871236,2110.65,19.346002416317248,NA,NA
MS15_lot2,2025,112065,14.317574621871236,2110.65,19.346002416317248,NA,NA
MS17,2025,450,9,450,29,NA,NA
MS18,2022-2024,2555.48,12,2555.48,22,NA,NA
MS18,2025,864.227,14.0000023142068,864.227,11.9999953715864,NA,NA
MS19_lot1,2022-2024,646.011,12.999995356116226,646.011,13.99999380815497,NA,NA
MS19_lot2,2022-2024,1491.37,13.000000000000002,1491.37,14.000000000000002,NA,NA
MS2,2025,885.363,13.399995256183058,885.363,20,NA,NA
MS20,2022-2024,944,5.5,944,22.8,NA,NA
MS21,2022-2024,1453,13,1453,13.8,NA,NA
MS22,2022-2024,900,15,900,20,NA,NA
MS24_lot1,2022-2024,962,13,962,25,NA,NA
MS26,2022-2024,780,15,860,34.95348837209303,NA,NA
MS27,2022-2024,1305.24,7.500007661426251,1305.24,22,NA,NA
MS29,2022-2024,859.45,10.999999999999998,859.45,14,NA,NA
MS3,2022-2024,410.37,13,2011.81,21,NA,NA
MS3,2025,450,5.5,450,15,NA,NA
MS30,2022-2024,1214,8,1214,23,NA,NA
MS30,2025,0,NA,0,NA,NA,NA
MS34,2022-2024,1500,16,1500,23.5,NA,NA
MS37_lot1,2022-2024,2648,13.850264350453172,2648,13.850264350453172,NA,NA
MS37_lot2,2022-2024,2648,13.850264350453172,2648,13.850264350453172,NA,NA
MS4,2022-2024,800,12,800,15,NA,NA
MS4,2025,1200,9,800,22,NA,NA
MS40,2022-2024,920.33,21.500005432833873,920.33,24.500005432833873,NA,NA
MS40,2025,0,NA,0,NA,NA,NA
MS42,2025,891.2090000000001,14.000004488285017,891.2090000000001,15.999995511714983,NA,NA
MS44,2022-2024,430,12,430,16,NA,NA
MS45,2022-2024,1551,8.599613152804642,1551,21.50870406189555,NA,NA
MS46,2022-2024,1466.6,15.000000000000002,1466.6,28.000000000000004,NA,NA
MS47,2025,250,12,0,NA,NA,NA
MS49,2022-2024,864.585,11.999999999999998,864.585,12,NA,NA
MS5,2022-2024,670.0999999999999,12.000000000000004,670.0999999999999,14.000000000000004,NA,NA
MS50,2022-2024,8500,10,8500,30,NA,NA
MS51,2022-2024,871.227,15.000005739032424,871.227,11.999995408774062,NA,NA
MS55,2022-2024,826.79,11.300003628490913,3064.3199999999997,17.000000000000004,NA,NA
MS57,2022-2024,1893,14,1543,13,NA,NA
MS61,2022-2024,3004,16,3004,14,NA,NA
MS61,2025,500,10,0,NA,NA,NA
MS7,2025,3985.35,13.000000000000002,3385.35,14.500001476952162,NA,NA
MS23,2022-2024,NA,NA,2008,18,NA,NA
MS24_lot2,2022-2024,NA,NA,2008,18,NA,NA
MS25,2025,NA,NA,0,NA,NA,NA
MS32,2025,NA,NA,0,NA,NA,NA
MS33,2022-2024,NA,NA,577.55,16,NA,NA
MS35,2022-2024,NA,NA,2100,21.3,NA,NA
MS38,2022-2024,NA,NA,995.849,17.999997991663392,NA,NA
MS44,2025,NA,NA,0,NA,NA,NA
MS48,2022-2024,NA,NA,0,NA,773.18,19.5
MS52,2022-2024,NA,NA,683.98,18.200005848124217,NA,NA
MS52,2025,NA,NA,0,NA,NA,NA
MS60,2022-2024,NA,NA,1960,18,NA,NA
MS14,2025,NA,NA,NA,NA,365,37
MS20,2025,NA,NA,NA,NA,701.3,24.000000000000004
MS31_lot1,2022-2024,NA,NA,NA,NA,1246.298,24.80444484384955
MS31_lot2,2022-2024,NA,NA,NA,NA,1246.298,24.80444484384955
MS31_lot4,2022-2024,NA,NA,NA,NA,1246.298,24.80444484384955
MS32,2022-2024,NA,NA,NA,NA,960.101,25.00000520778543
MS38,2025,NA,NA,NA,NA,200,29
MS39,2025,NA,NA,NA,NA,0,NA
MS41,2022-2024,NA,NA,NA,NA,1734,28
MS47,2022-2024,NA,NA,NA,NA,1815.58,48
MS64,2022-2024,NA,NA,NA,NA,965,25.5
