"ID_CHANTIER","ACCORD_CADRE","DEP","FRT","NUM_ETF","DEBUT_CHANTIER","FIN_CHANTIER","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","LONGUEUR_MOY","VOL_REEL_ABA_M3","COUT_ABA_M3","VOL_REEL_DEB_M3","COUT_DEB_M3","VOL_REEL_ABADEB_M3","COUT_ABADEB_M3","VOL_REF","COUT_MONTAGE_M3","COUT_MONTAGE_TOTAL","COUT_TRANSFERT_M3","COUT_TRANSFERT_TOTAL","COUT_VARIABLES_M3","COUT_VARIABLES_TOT","COUT_FIXES_M3","COUT_FIXES_TOT","TARIF_PRESTA_M3","TARIF_PRESTA_SANS_ABA_M3","TARIF_PRESTA_SANS_TRANSFERT_M3","TARIF_PRESTA_SANS_ABA_TRANSFERT_M3","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","ALTITUDE_CENTROIDE","TYPE_CHANTIER"
"MS3","2022-2024","39","Forêt domaniale de Chaux",1,2023-01-19,2023-05-16,2334,12,300,500,400,410.37,13,2011.81,21,NA,NA,2011.81,6.56125578459198,13200,NA,NA,34,68401.54,NA,NA,NA,NA,40.561255784592,27.561255784592,1514,35,1.0081571994716,197.761,"Charme",57.5816666666667,43.29,"Famille Régénération","Futaie sur souche ou TSF en conversion",250.029876708984,1.51366245746613,241.75,"Plaine"
"MS4","2022-2024","21","Forêt domaniale de Saulieu",2,2023-06-12,2023-07-21,566,2,550,550,550,800,12,800,15,NA,NA,800,5,4000,4.625,3700,27,21600,9.625,7700,36.625,24.625,32,20,549,41.7577413479053,1.76055009107468,79.8909999999998,"Epicéa commun",120.385,10.42,"Famille Amélioration","futaie régulière",566.60009765625,1.79918265342712,566.789978027344,"Plaine"
"MS5","2022-2024","71","Forêt domaniale d'Anost",1,2023-05-02,2023-05-25,600,2,110,380,245,670.1,12,670.1,14,NA,NA,670.1,5.96925831965378,4000,2.98462915982689,2000,26,17422.6,8.95388747948068,6000,34.9538874794807,22.9538874794807,31.9692583196538,19.9692583196538,565,32.070796460177,0.858699115044248,47.539,"Epicéa commun",463.44,1.15,"Famille Régénération","futaie régulière",734.829406738281,3.40763068199158,733.700012207031,"Montagne"
"MS10_lot1","2022-2024","63","Forêt domaniale d'Ayguebonne",3,2023-04-06,2023-07-24,3750,9,150,300,225,2677.45,13,2677.45,13,NA,NA,2677.45,5.60235672001345,15000.03,4.10838671123644,11000,26,69613.7,9.71074343124988,26000.03,35.7107434312499,22.7107434312499,31.6023567200134,18.6023567200134,1883,40.1301115241636,1.3591062134891,259.276999999999,"Epicéa commun",272.8,11.5,"Famille Régénération","futaie régulière",940.100402832031,6.6668963432312,927.039978027344,"Montagne"
"MS10_lot2","2022-2024","63","Forêt domaniale d'Ayguebonne",1,2023-05-02,2023-07-24,3650,7,100,400,250,4350,14,4350,13,NA,NA,4350,3.44828045977012,15000.02,1.83908045977011,8000,27,117450,5.28736091954023,23000.02,32.2873609195402,18.2873609195402,30.4482804597701,16.4482804597701,3751,38.0151959477473,1.14877286057049,454.854000000009,"Epicéa commun",390.18,13.9,"Famille Régénération","futaie régulière",963.377563476562,6.8462290763855,953.359985351562,"Montagne"
"MS18","2022-2024","88","Forêt domaniale de Saint-Maurice Et Bussang",1,2023-09-27,2024-09-26,3026,18,140,435,287.5,2555.48,12,2555.48,22,NA,NA,2555.48,8.64808176937405,22100,0.391315917166247,1000,34,86886.32,9.0393976865403,23100,43.0393976865403,31.0393976865403,42.648081769374,30.648081769374,1576,44.7620558375635,1.92027982233503,264.479,"Sapin pectiné",93.2866666666667,37.08,"Famille Amélioration","futaie régulière",852.279479980469,26.1602725982666,839.989990234375,"Montagne"
"MS19_lot1","2022-2024","25","Forêt domaniale de Levier Jura",3,2023-12-14,2023-12-14,600,2,360,370,365,646.011,12.9999953561162,646.011,13.999993808155,NA,NA,646.011,6.12218677390942,3955,NA,NA,26.9999891642712,17442.29,NA,NA,NA,NA,33.1221759381806,20.1221805820644,258,47.8875968992248,2.50473255813953,50.9929999999999,"Sapin pectiné",100.72,7.06,"Famille Irréguliers","futaie régulière",711.3720703125,4.96870613098145,715.950012207031,"Montagne"
"MS19_lot2","2022-2024","25","Forêt domaniale de Levier Scay",3,2023-10-02,2023-12-13,1200,4,180,450,315,1491.37,13,1491.37,14,NA,NA,1491.37,4.49251359488256,6700,1.50867993857996,2250,27,40266.99,6.00119353346252,8950,33.0011935334625,20.0011935334625,31.4925135948826,18.4925135948826,466,58.0364806866953,3.63189055793991,133.485,"Sapin pectiné",372.32,5,"Famille Régénération","futaie régulière",736.628479003906,5.12871313095093,744.219970703125,"Montagne"
"MS20","2022-2024","63","Forêt sectionale de Saint-Julien-Puy-Laveze",4,2024-06-17,2024-07-25,2050,3,535,650,592.5,944,5.5,944,22.8,NA,NA,944,4.44915254237288,4200,1.27118644067797,1200,28.3,26715.2,5.72033898305085,5400,34.0203389830508,28.5203389830508,32.7491525423729,27.2491525423729,2364,35.3680203045685,0.845434010152296,244.617000000002,"Epicéa commun",148.66,17.48,"Famille Amélioration","futaie régulière",933.596069335938,3.68628931045532,933.450012207031,"Montagne"
"MS21","2022-2024","63","Forêt domaniale de Guery",4,2024-07-09,2024-09-25,1800,7,320,540,430,1453,13,1453,13.8,NA,NA,1453,12.381280110117,17990,0.825877494838266,1200,26.8,38940.4,13.2071576049553,19190,40.0071576049553,27.0071576049553,39.181280110117,26.181280110117,1054,42.623339658444,1.70871442125237,160.808,"Epicéa commun",94.11,19.81,"Famille Irréguliers","futaie régulière",1172.76489257812,16.2534484863281,1155.59997558594,"Montagne"
