ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,VOL_REEL_ABADEB_M3,COUT_ABADEB_M3,VOL_REF.x,COUT_MONTAGE_M3,COUT_MONTAGE_TOTAL,VOL_REF.y,COUT_TRANSFERT_M3,COUT_TRANSFERT_TOTAL
MS1,2025,262,19.5,262,8.5,NA,NA,262,9.541984732824428,2500,262,0.9446564885496184,247.5
MS10_lot1,2022-2024,2677.45,13,2677.45,13,NA,NA,2677.45,5.6023567200134465,15000.03,2677.45,4.108386711236438,11000
MS10_lot2,2022-2024,4350,14,4350,13,NA,NA,4350,3.4482804597701153,15000.020000000002,4350,1.839080459770115,8000
MS11,2025,1330,8,1330,21,NA,NA,1330,13.645864661654135,18149,1330,NA,NA
MS12,2025,641.5,8.5,641.5,20,NA,NA,641.5,4.286827747466875,2750,641.5,0.7716289945440374,495
MS14,2025,NA,NA,NA,NA,365,37,365,17.534246575342465,6400,365,3.2054794520547945,1170
MS15_lot1,2025,112065,14.317574621871236,2110.65,19.346002416317248,NA,NA,2110.65,14.024115793712836,29600,2110.65,0.5863122734702579,1237.5
MS15_lot2,2025,112065,14.317574621871236,2110.65,19.346002416317248,NA,NA,2110.65,14.024115793712836,29600,2110.65,0.5863122734702579,1237.5
MS17,2025,450,9,450,29,NA,NA,450,6.222222222222222,2800,450,NA,NA
MS18,2022-2024,2555.48,12,2555.48,22,NA,NA,2555.48,8.64808176937405,22100,2555.48,0.39131591716624664,1000
MS18,2025,864.227,14.000002314206801,864.227,11.9999953715864,NA,NA,864.227,6.595489379526444,5700,864.227,0.7984013459426748,690
MS19_lot1,2022-2024,646.011,12.999995356116226,646.011,13.99999380815497,NA,NA,646.011,6.122186773909423,3955,646.011,NA,NA
MS19_lot2,2022-2024,1491.37,13.000000000000002,1491.37,14.000000000000002,NA,NA,1491.37,4.492513594882558,6700,1491.37,1.5086799385799634,2250
MS2,2025,885.363,13.399995256183058,885.363,20,NA,NA,885.363,6.776881346972936,6000,885.363,2.236370844501069,1980
MS20,2022-2024,944,5.5,944,22.8,NA,NA,944,4.4491525423728815,4200,944,1.271186440677966,1200
MS20,2025,NA,NA,NA,NA,701.3,24.000000000000004,701.3,14.11664052473977,9900,701.3,2.1388849279908744,1500
MS21,2022-2024,1453,13,1453,13.8,NA,NA,1453,12.381280110116998,17990,1453,0.8258774948382657,1200
MS22,2022-2024,900,15,900,20,NA,NA,900,13.88888888888889,12500,900,6.111111111111111,5500
MS23,2022-2024,NA,NA,2008,18,NA,NA,2008,9.9601593625498,20000,2008,NA,NA
MS24_lot1,2022-2024,962,13,962,25,NA,NA,962,4.158004158004158,4000,962,NA,NA
MS24_lot2,2022-2024,NA,NA,2008,18,NA,NA,2008,9.9601593625498,20000,2008,NA,NA
MS25,2025,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
MS27,2022-2024,1305.24,7.500007661426251,1305.24,22,NA,NA,1305.24,9.117097238821978,11900,1305.24,NA,NA
MS29,2022-2024,859.45,10.999999999999998,859.45,14,NA,NA,859.45,5.235906684507533,4500,859.45,4.6541392751178075,4000
MS3,2022-2024,410.37,13,2011.81,21,NA,NA,2011.81,6.561255784591984,13200,2011.81,NA,NA
MS3,2025,450,5.5,450,15,NA,NA,450,13.333333333333334,6000,450,5.148888888888889,2317
MS30,2022-2024,1214,8,1214,23,NA,NA,1214,9.884678747940692,12000,1214,4.942339373970346,6000
MS30,2025,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
MS31_lot1,2022-2024,NA,NA,NA,NA,1246.298,24.80444484384955,1246.298,10.832080288983855,13500,1246.298,5.616634223917554,7000
MS31_lot2,2022-2024,NA,NA,NA,NA,1246.298,24.80444484384955,1246.298,10.832080288983855,13500,1246.298,5.616634223917554,7000
MS31_lot4,2022-2024,NA,NA,NA,NA,1246.298,24.80444484384955,1246.298,10.832080288983855,13500,1246.298,5.616634223917554,7000
MS32,2022-2024,NA,NA,NA,NA,960.101,25.00000520778543,960.101,10.936349404906359,10500,960.101,7.290899603270906,7000
MS32,2025,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0
MS33,2022-2024,NA,NA,577.55,16,NA,NA,577.55,19.045970045883475,11000,577.55,7.791533200588694,4500
MS34,2022-2024,1500,16,1500,23.5,NA,NA,1500,8.6,12900,1500,5.666666666666667,8500
MS35,2022-2024,NA,NA,2100,21.3,NA,NA,2100,12.152380952380952,25520,2100,1.4285714285714286,3000
MS37_lot1,2022-2024,2648,13.850264350453172,2648,13.850264350453172,NA,NA,2648,4.493957703927492,11900,2648,2.6435045317220545,7000
MS37_lot2,2022-2024,2648,13.850264350453172,2648,13.850264350453172,NA,NA,2648,4.493957703927492,11900,2648,2.6435045317220545,7000
MS38,2022-2024,NA,NA,995.849,17.999997991663392,NA,NA,995.849,16.870027484086442,16800,995.849,4.518757361808868,4500
MS38,2025,NA,NA,NA,NA,200,29,200,10,2000,200,14.85,2970
MS39,2025,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0
MS4,2022-2024,800,12,800,15,NA,NA,800,5,4000,800,4.625,3700
MS4,2025,1200,9,800,22,NA,NA,800,3.125,2500,800,NA,NA
MS40,2025,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0
MS41,2022-2024,NA,NA,NA,NA,1734,28,1734,6.113033448673587,10600,1734,7.20876585928489,12500
MS42,2025,891.2090000000001,14.000004488285015,891.2090000000001,15.999995511714983,NA,NA,891.2090000000001,7.573980962939108,6750,891.2090000000001,1.0940194724245378,975
MS44,2022-2024,430,12,430,16,NA,NA,430,13.953488372093023,6000,430,4.651162790697675,2000
MS44,2025,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
MS45,2022-2024,1551,8.599613152804642,1551,21.50870406189555,NA,NA,1551,3.288201160541586,5100,1551,4.513217279174726,7000
