ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,COUT_MONTAGE_M3,COUT_MONTAGE_TOTAL,COUT_TRANSFERT_M3,COUT_TRANSFERT_TOTAL,COUT_VARIABLES_M3,COUT_FIXES_M3,TARIF_PRESTA_M3,TARIF_PRESTA_SANS_ABA_M3,TARIF_PRESTA_SANS_TRANSFERT_M3,TARIF_PRESTA_SANS_ABA_TRANSFERT_M3
MS1,2025,262,19.5,262,8.5,9.541984732824428,2500,0.9446564885496184,247.5,28,10.486641221374047,38.48664122137404,18.986641221374047,37.54198473282443,18.041984732824428
MS10_lot1,2022-2024,2677.45,13,2677.45,13,5.6023567200134465,15000.03,4.108386711236438,11000,26,9.710743431249885,35.71074343124988,22.710743431249885,31.602356720013447,18.602356720013447
MS10_lot2,2022-2024,4350,14,4350,13,3.4482804597701153,15000.020000000002,1.839080459770115,8000,27,5.28736091954023,32.287360919540234,18.28736091954023,30.448280459770114,16.448280459770114
MS12,2025,641.5,8.5,641.5,20,4.286827747466875,2750,0.7716289945440374,495,28.5,5.058456742010912,33.55845674201091,25.05845674201091,32.78682774746687,24.286827747466873
MS14,2025,365,37,100,37,64,6400,11.7,1170,74,75.7,149.7,112.7,138,101
MS15_lot1,2025,NA,NA,2110.65,19.346002416317248,14.024115793712836,29600,0.5863122734702579,1237.5,NA,14.610428067183094,NA,33.95643048350034,NA,33.370118210030085
MS15_lot2,2025,NA,NA,2110.65,19.346002416317248,14.024115793712836,29600,0.5863122734702579,1237.5,NA,14.610428067183094,NA,33.95643048350034,NA,33.370118210030085
MS17,2025,450,9,450,29,6.222222222222222,2800,0,0,38,6.222222222222222,44.22222222222222,35.22222222222222,44.22222222222222,35.22222222222222
MS18,2022-2024,2555.48,12,2555.48,22,8.64808176937405,22100,0.39131591716624664,1000,34,9.039397686540298,43.0393976865403,31.039397686540298,42.64808176937405,30.648081769374052
MS18,2025,864.227,14.0000023142068,864.227,11.9999953715864,6.595489379526444,5700,0.7984013459426748,690,25.999997685793197,7.393890725469118,33.39388841126232,19.393886097055518,32.59548706531964,18.595484751112842
MS19_lot2,2022-2024,1491.37,13.000000000000002,1491.37,14.000000000000002,4.492513594882558,6700,1.5086799385799634,2250,27.000000000000004,6.001193533462521,33.001193533462526,20.001193533462523,31.49251359488256,18.49251359488256
MS2,2025,885.363,13.399995256183058,885.363,20,6.776881346972936,6000,2.236370844501069,1980,33.39999525618306,9.013252191474006,42.41324744765707,29.013252191474006,40.176876603155996,26.776881346972935
MS20,2022-2024,944,5.5,944,22.8,4.4491525423728815,4200,1.271186440677966,1200,28.3,5.720338983050848,34.02033898305085,28.52033898305085,32.74915254237288,27.249152542372883
MS20,2025,701.3,24.000000000000004,701.3,7.000000000000001,14.11664052473977,9900,2.1388849279908744,1500,31.000000000000004,16.255525452730645,47.25552545273065,23.255525452730645,45.11664052473977,21.116640524739772
MS21,2022-2024,1453,13,1453,13.8,12.381280110116998,17990,0.8258774948382657,1200,26.8,13.207157604955263,40.00715760495527,27.007157604955264,39.181280110117,26.181280110117
MS22,2022-2024,900,15,900,20,13.88888888888889,12500,6.111111111111111,5500,35,20,55,40,48.888888888888886,33.888888888888886
MS29,2022-2024,859.45,10.999999999999998,859.45,14,5.235906684507533,4500,4.6541392751178075,4000,25,9.89004595962534,34.89004595962534,23.89004595962534,30.235906684507533,19.235906684507533
MS3,2025,450,5.5,450,15,13.333333333333334,6000,5.148888888888889,2317,20.5,18.482222222222223,38.98222222222222,33.48222222222222,33.833333333333336,28.333333333333336
MS30,2022-2024,1214,8,1214,23,9.884678747940692,12000,4.942339373970346,6000,31,14.827018121911038,45.82701812191104,37.82701812191104,40.88467874794069,32.88467874794069
MS30,2025,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
MS31_lot1,2022-2024,1246.298,24.80444484384955,NA,NA,NA,13500,NA,7000,NA,NA,NA,NA,NA,NA
MS31_lot2,2022-2024,1246.298,24.80444484384955,NA,NA,NA,13500,NA,7000,NA,NA,NA,NA,NA,NA
MS31_lot4,2022-2024,1246.298,24.80444484384955,NA,NA,NA,13500,NA,7000,NA,NA,NA,NA,NA,NA
MS32,2022-2024,960.101,25.00000520778543,NA,NA,NA,10500,NA,7000,NA,NA,NA,NA,NA,NA
MS32,2025,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
MS33,2022-2024,NA,NA,577.55,16,19.045970045883475,11000,7.791533200588694,4500,NA,26.83750324647217,NA,42.83750324647217,NA,35.04597004588348
MS34,2022-2024,1500,16,1500,23.5,8.6,12900,5.666666666666667,8500,39.5,14.266666666666666,53.766666666666666,37.766666666666666,48.1,32.1
MS35,2022-2024,NA,NA,2100,21.3,12.152380952380952,25520,1.4285714285714286,3000,NA,13.58095238095238,NA,34.88095238095238,NA,33.45238095238095
MS37_lot1,2022-2024,2648,13.850264350453172,2648,13.850264350453172,4.493957703927492,11900,2.6435045317220545,7000,27.700528700906343,7.137462235649547,34.83799093655589,20.987726586102717,32.19448640483384,18.344222054380666
MS37_lot2,2022-2024,2648,13.850264350453172,2648,13.850264350453172,4.493957703927492,11900,2.6435045317220545,7000,27.700528700906343,7.137462235649547,34.83799093655589,20.987726586102717,32.19448640483384,18.344222054380666
MS38,2022-2024,NA,NA,995.849,17.999997991663392,16.870027484086442,16800,4.518757361808868,4500,NA,21.38878484589531,NA,39.3887828375587,NA,34.870025475749834
MS38,2025,100,29,NA,NA,NA,2000,NA,2970,NA,NA,NA,NA,NA,NA
MS39,2025,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
MS4,2022-2024,800,12,800,15,5,4000,4.625,3700,27,9.625,36.625,24.625,32,20
MS4,2025,1200,9,800,22,3.125,2500,0,0,31,3.125,34.125,25.125,34.125,25.125
MS40,2025,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
MS41,2022-2024,1734,28,NA,NA,NA,10600,NA,12500,NA,NA,NA,NA,NA,NA
MS42,2025,891.2090000000001,14.000004488285017,891.2090000000001,15.999995511714983,7.573980962939108,6750,1.0940194724245378,975,30,8.668000435363645,38.668000435363645,24.66799594707863,37.57398096293911,23.573976474654092
MS44,2022-2024,430,12,430,16,13.953488372093023,6000,4.651162790697675,2000,28,18.6046511627907,46.6046511627907,34.6046511627907,41.95348837209302,29.953488372093023
MS45,2022-2024,1551,8.599613152804642,1551,21.50870406189555,3.288201160541586,5100,4.513217279174726,7000,30.108317214700193,7.801418439716312,37.90973565441651,29.31012250161186,33.39651837524178,24.796905222437136
MS46,2022-2024,1466.6,15.000000000000002,1466.6,28.000000000000004,10.227737624437475,15000,1.0227737624437474,1500,43.00000000000001,11.250511386881223,54.25051138688123,39.25051138688123,53.22773762443748,38.22773762443748
MS47,2022-2024,1815.58,48,NA,NA,NA,15000,NA,10000,NA,NA,NA,NA,NA,NA
MS47,2025,250,12,0,NA,NA,0,Inf,5574,NA,NA,NA,NA,NA,NA
MS48,2022-2024,773.18,19.5,0,NA,Inf,7500,Inf,4200,NA,Inf,NA,NA,NA,NA
MS49,2022-2024,864.585,11.999999999999998,864.585,12,13.185516750811082,11400,2.4289109804125677,2100,24,15.61442773122365,39.61442773122365,27.61442773122365,37.18551675081108,25.185516750811082
MS5,2022-2024,670.0999999999999,12.000000000000004,670.0999999999999,14.000000000000004,5.969258319653783,4000,2.9846291598268917,2000,26.000000000000007,8.953887479480676,34.953887479480684,22.953887479480677,31.96925831965379,19.969258319653786
