ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,VOL_REEL_ABADEB_M3,COUT_ABADEB_M3,VOL_REF,COUT_MONTAGE_M3,COUT_MONTAGE_TOTAL,COUT_TRANSFERT_M3,COUT_TRANSFERT_TOTAL,COUT_VARIABLES_M3,COUT_VARIABLES_TOT,COUT_FIXES_M3,COUT_FIXES_TOT,TARIF_PRESTA_M3,TARIF_PRESTA_SANS_ABA_M3,TARIF_PRESTA_SANS_TRANSFERT_M3,TARIF_PRESTA_SANS_ABA_TRANSFERT_M3
MS1,2025,262,19.5,262,8.5,NA,NA,262,9.541984732824428,2500,0.9446564885496184,247.5,28,7336,10.486641221374047,2747.5,38.48664122137404,18.986641221374047,37.54198473282443,18.041984732824428
MS10_lot1,2022-2024,2677.45,13,2677.45,13,NA,NA,2677.45,5.6023567200134465,15000.03,4.108386711236438,11000,26,69613.7,9.710743431249885,26000.03,35.71074343124988,22.710743431249885,31.602356720013447,18.602356720013447
MS10_lot2,2022-2024,4350,14,4350,13,NA,NA,4350,3.4482804597701153,15000.020000000002,1.839080459770115,8000,27,117450,5.28736091954023,23000.020000000004,32.287360919540234,18.28736091954023,30.448280459770114,16.448280459770114
MS11,2025,1330,8,1330,21,NA,NA,1330,13.645864661654135,18149,NA,NA,29,38570,NA,NA,NA,NA,42.64586466165414,34.64586466165414
MS12,2025,641.5,8.5,641.5,20,NA,NA,641.5,4.286827747466875,2750,0.7716289945440374,495,28.5,18282.75,5.058456742010912,3245,33.55845674201091,25.05845674201091,32.78682774746687,24.286827747466873
MS14,2025,NA,NA,NA,NA,365,37,365,17.534246575342465,6400,3.2054794520547945,1170,37,13505,20.73972602739726,7570,57.73972602739726,NA,54.534246575342465,NA
MS15_lot1,2025,112065,14.317574621871236,2110.65,19.346002416317248,NA,NA,2110.65,14.024115793712836,29600,0.5863122734702579,1237.5,33.663577038188485,71052.02887565253,14.610428067183094,30837.5,48.27400510537158,33.95643048350034,47.68769283190132,33.370118210030085
MS15_lot2,2025,112065,14.317574621871236,2110.65,19.346002416317248,NA,NA,2110.65,14.024115793712836,29600,0.5863122734702579,1237.5,33.663577038188485,71052.02887565253,14.610428067183094,30837.5,48.27400510537158,33.95643048350034,47.68769283190132,33.370118210030085
MS17,2025,450,9,450,29,NA,NA,450,6.222222222222222,2800,NA,NA,38,17100,NA,NA,NA,NA,44.22222222222222,35.22222222222222
MS18,2022-2024,2555.48,12,2555.48,22,NA,NA,2555.48,8.64808176937405,22100,0.39131591716624664,1000,34,86886.32,9.039397686540298,23100,43.0393976865403,31.039397686540298,42.64808176937405,30.648081769374052
MS18,2025,864.227,14.0000023142068,864.227,11.9999953715864,NA,NA,864.227,6.595489379526444,5700,0.7984013459426748,690,25.999997685793197,22469.899999999998,7.393890725469118,6390,33.39388841126232,19.393886097055518,32.59548706531964,18.595484751112842
MS19_lot1,2022-2024,646.011,12.999995356116226,646.011,13.99999380815497,NA,NA,646.011,6.122186773909423,3955,NA,NA,26.9999891642712,17442.29,NA,NA,NA,NA,33.12217593818062,20.122180582064395
