ID_CHANTIER,ACCORD_CADRE,NUM_ETF,TYPE_OP,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,JOURS_TRAVAILLES_AVEC_MONTAGE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
MS10_lot1,2022-2024,3,CVar_CABLE_ABATTAGE,2023-05-16,300,2023-04-24,22,15.714285714285715,19.09090909090909,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot1,2022-2024,3,CVar_CABLE_ABATTAGE,2023-06-02,500,2023-05-16,17,12.142857142857142,41.1764705882353,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot1,2022-2024,3,CVar_CABLE_ABATTAGE,2023-07-24,877.4499999999999,2023-06-02,52,37.142857142857146,23.623653846153843,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot2,2022-2024,1,CVar_CABLE_ABATTAGE,2023-05-16,500,2023-05-02,14,10,50,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot2,2022-2024,1,CVar_CABLE_ABATTAGE,2023-06-02,600,2023-05-16,17,12.142857142857142,49.411764705882355,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot2,2022-2024,1,CVar_CABLE_ABATTAGE,2023-06-23,1000,2023-06-02,21,15,66.66666666666667,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot2,2022-2024,1,CVar_CABLE_ABATTAGE,2023-06-30,500,2023-06-23,7,5,100,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS10_lot2,2022-2024,1,CVar_CABLE_ABATTAGE,2023-07-24,750,2023-06-30,24,17.142857142857142,43.75,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS11,2025,8,CVar_CABLE_ABATTAGE,2025-09-22,430,2025-08-19,34,24.285714285714285,17.705882352941178,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS15_lot1,2025,1,CVar_CABLE_ABATTAGE,2025-10-16,400,2025-08-26,51,36.42857142857143,10.980392156862745,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS15_lot1,2025,1,CVar_CABLE_ABATTAGE,2025-11-04,200,2025-10-16,19,13.571428571428571,14.736842105263158,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS15_lot1,2025,1,CVar_CABLE_ABATTAGE,2025-11-18,620.47,2025-11-04,14,10,62.047000000000004,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS15_lot2,2025,1,CVar_CABLE_ABATTAGE,2025-10-16,400,2025-08-26,51,36.42857142857143,10.980392156862745,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS15_lot2,2025,1,CVar_CABLE_ABATTAGE,2025-11-04,200,2025-10-16,19,13.571428571428571,14.736842105263158,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS15_lot2,2025,1,CVar_CABLE_ABATTAGE,2025-11-18,620.47,2025-11-04,14,10,62.047000000000004,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS17,2025,12,CVar_CABLE_ABATTAGE,2026-02-04,450,2025-12-01,65,46.42857142857143,9.692307692307692,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS18,2022-2024,1,CVar_CABLE_DEBARDAGE,2023-10-20,600,2023-09-27,23,16.42857142857143,36.52173913043478,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS18,2022-2024,1,CVar_CABLE_ABATTAGE,2023-12-13,464.07,2023-10-20,54,38.57142857142857,12.031444444444444,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS18,2022-2024,1,CVar_CABLE_ABATTAGE,2024-09-26,385.97999999999996,2024-08-14,43,30.714285714285715,12.566790697674417,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS18,2025,8,CVar_CABLE_ABATTAGE,2025-07-16,464.227,2025-06-23,23,16.42857142857143,28.25729565217391,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS19_lot2,2022-2024,3,CVar_CABLE_ABATTAGE,2023-10-30,400,2023-10-02,28,20,20,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS19_lot2,2022-2024,3,CVar_CABLE_ABATTAGE,2023-11-28,591.37,2023-10-30,29,20.714285714285715,28.548896551724138,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS2,2025,4,CVar_CABLE_ABATTAGE,2025-07-21,150,2025-07-01,20,14.285714285714286,10.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS20,2022-2024,4,CVar_CABLE_ABATTAGE,2024-07-11,350,2024-06-17,24,17.142857142857142,20.416666666666668,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS20,2022-2024,4,CVar_CABLE_ABATTAGE,2024-07-25,94,2024-07-11,14,10,9.4,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS20,2025,4,CVar_CABLE_ABATTAGE,2025-06-06,320,2025-05-27,10,7.142857142857143,44.8,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
