ID_FB,NUM_ETF,LIBELLE_ARTICLE,UNITE,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
FB200015735,18,Débardage de billons résineux,M3A,2024-11-15,157.95,2024-10-18,28,20,7.897499999999999,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB200024865,19,Abatt/Façonnage bois d'ind. en billons,M3,2023-02-27,280,2023-01-25,33,23.571428571428573,11.878787878787879,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB200024865,19,Abatt/Façonnage bois d'ind. en billons,M3,2023-03-10,500,2023-02-27,11,7.857142857142858,63.63636363636363,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB200024865,19,Abatt/Façonnage bois d'ind. en billons,M3,2023-04-12,3,2023-03-10,33,23.571428571428573,0.12727272727272726,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210044225,11,Abatt-faç bois ind/chauff feuil billon,M3A,2023-05-24,692.65,2023-05-12,12,8.571428571428571,80.80916666666667,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210060349,33,Abatt/Faç. grumes feu. toutes classes,M3,2023-02-17,98.82,2023-01-26,22,15.714285714285715,6.288545454545454,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210062552,25,Abatt/Façonnage bois d'ind. en billons,M3A,2023-07-28,45.67,2023-07-06,22,15.714285714285715,2.9062727272727273,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210064007,38,Débardage de bois d'industrie en billons,M3A,2023-03-02,2000,2023-01-12,49,35,57.142857142857146,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210064007,38,Débardage de bois d'industrie en billons,M3A,2023-04-12,500,2023-03-02,41,29.285714285714285,17.073170731707318,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210064007,37,Abatt/Façonnage bois d'ind. en billons,M3A,2023-05-16,1181,2023-04-14,32,22.857142857142858,51.668749999999996,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB210067410,8,Abattage-façonnage de grumes,M3,2024-10-15,171.227,2024-09-30,15,10.714285714285715,15.981186666666666,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220003307,41,Abatt-faç bois ind/chauff feuil billon,M3A,2023-09-28,754.34,2023-09-18,10,7.142857142857143,105.6076,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220003307,41,Abatt/Faç. grumes feu. toutes classes,M3,2023-10-26,124.77,2023-09-28,28,20,6.2385,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220004062,36,Débardage de bois d'industrie en billons,M3A,2023-03-09,568,2023-02-17,20,14.285714285714286,39.76,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220004062,36,Débardage de bois d'industrie en billons,M3A,2023-03-14,421,2023-03-09,5,3.5714285714285716,117.88,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220004062,43,Abatt/Façonnage bois d'ind. en billons,M3A,2023-03-23,517,2023-03-14,9,6.428571428571429,80.42222222222222,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220004173,32,Abatt/Faç. grumes feu. toutes classes,M3,2023-03-07,200,2023-01-26,40,28.571428571428573,7,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220004193,24,Abattage mécanisé de bois d'industrie,M3A,2023-04-17,227,2023-03-14,34,24.285714285714285,9.347058823529412,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220004202,33,Abatt/Faç. grumes feu. toutes classes,M3,2023-03-07,173.63,2023-01-26,40,28.571428571428573,6.07705,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220007895,38,Abattage mécanisé de bois d'industrie,M3A,2023-05-10,116,2023-03-31,40,28.571428571428573,4.06,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220007896,38,Abattage mécanisé de bois d'industrie,M3A,2023-03-31,550,2023-03-02,29,20.714285714285715,26.551724137931032,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220008617,50,Débardage de grumes,M3,2023-03-31,37.5,2023-01-26,64,45.714285714285715,0.8203125,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220019140,22,Débardage de grumes,M3,2023-07-26,246,2023-05-31,56,40,6.15,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220019175,57,"Abattage, façonnage (gén)",M3,2023-06-29,30.83,2023-05-15,45,32.142857142857146,0.9591555555555554,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220021098,47,Débardage de grumes,M3,2023-03-20,328.37,2023-03-06,14,10,32.837,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220022837,43,Abatt/Façonnage bois d'ind. en billons,M3A,2023-03-03,250,2023-02-09,22,15.714285714285715,15.909090909090908,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220024484,48,Abattage-façonnage de grumes,M3,2023-03-02,220,2023-02-22,8,5.714285714285714,38.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220024484,48,Abattage-façonnage de grumes,M3,2023-03-10,500,2023-03-02,8,5.714285714285714,87.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220026130,25,Abatt/Façonnage bois d'ind. en billons,M3A,2023-03-23,77,2023-02-21,30,21.42857142857143,3.593333333333333,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220026145,27,Abattage-façonnage de grumes,M3,2023-02-21,761.64,2023-01-16,36,25.714285714285715,29.61933333333333,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220026638,20,Débardage de bois d'industrie en billons,M3A,2023-04-18,89,2023-04-12,6,4.285714285714286,20.766666666666666,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220026638,37,Abatt/Façonnage bois d'ind. en billons,M3A,2023-09-21,182,2023-09-12,9,6.428571428571429,28.31111111111111,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220030977,33,Abatt/Faç. grumes feu. toutes classes,M3,2024-08-19,166.63,2024-07-04,46,32.85714285714286,5.071347826086956,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220035304,11,Abatt-faç bois ind/chauff feuil billon,M3A,2023-05-24,660.15,2023-04-05,49,35,18.861428571428572,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220035736,48,Abattage-façonnage de grumes,M3,2023-08-07,35.101,2023-06-22,46,32.85714285714286,1.068291304347826,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220036538,67,Abattage-façonnage de grumes,M3,2026-01-19,143,2025-12-11,39,27.857142857142858,5.133333333333333,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220036538,68,Débardage de grumes,M3,2026-01-23,556.731,2026-01-19,4,2.857142857142857,194.85585,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220036538,69,Abattage-façonnage de grumes,M3,2026-01-26,192.577,2026-01-23,3,2.142857142857143,89.86926666666668,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220038341,38,Débardage de bois d'industrie en billons,M3A,2023-03-28,294,2023-03-10,18,12.857142857142858,22.866666666666667,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220038341,37,Abatt/Façonnage bois d'ind. en billons,M3,2023-05-16,44,2023-03-28,49,35,1.2571428571428571,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220042779,32,Abatt/Faç. grumes feu. toutes classes,M3,2024-02-28,48.63,2024-02-08,20,14.285714285714286,3.4041,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220042897,57,Débardage de billons feuillus,M3A,2023-09-08,75.07,2023-08-31,8,5.714285714285714,13.137249999999998,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220047121,41,Abatt/Faç. grumes feu. toutes classes,M3,2023-05-26,5.72,2023-03-27,60,42.85714285714286,0.13346666666666665,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220049055,72,Abatt-faç bois ind/chauff feuil billon,M3A,2023-11-22,100,2023-10-26,27,19.285714285714285,5.185185185185185,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220053012,77,Débardage de grumes,M3,2023-10-12,80.616,2023-09-30,12,8.571428571428571,9.4052,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220053959,36,Débardage de bois d'industrie en billons,M3A,2023-08-10,913.803,2023-08-07,3,2.142857142857143,426.4414,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220054010,80,Débardage de bois d'industrie en billons,M3A,2026-01-27,368.5,2025-12-12,46,32.85714285714286,11.215217391304346,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220054033,81,Abatt/Façonnage bois d'ind. en billons,M3A,2023-08-10,179.24,2023-07-21,20,14.285714285714286,12.5468,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220054040,25,Abatt/Façonnage bois d'ind. en billons,M3A,2023-03-27,400,2023-02-20,35,25,16,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB220054040,25,Abatt/Façonnage bois d'ind. en billons,M3A,2023-07-28,595,2023-07-20,8,5.714285714285714,104.125,intra_chantier,NA,NA,NA,NA,NA,NA,NA
