ID_FB,VOL_REEL_ABA_M3,COUT_TOTAL_ABA,COUT_ABA_TERRE_M3,VOL_REEL_DEB_M3,COUT_TOTAL_DEB,COUT_DEB_TERRE_M3,VOL_REF
FB200015735,157.95,1626.89,10.300031655587212,315.9,1061.42,3.359987337765116,315.9
FB200024865,583,6996,12,883,5810.14,6.58,883
FB200069430,190.61,2343.73,12.295944598919258,190.61,1405.96,7.376108283930538,190.61
FB210006823,170.5,2206.27,12.94,170.5,1563.49,9.170029325513196,170.5
FB210021530,162,1636.2,10.1,162,999.54,6.17,162
FB210021624,364,3676.4,10.1,364,2042.04,5.61,364
FB210022193,88.9,849.88,9.559955005624296,98.30000000000001,905,9.206510681586977,98.30000000000001
FB210022802,154.8,1893.2,12.229974160206718,NA,NA,NA,NA
FB210022834,70,651,9.3,NA,NA,NA,NA
FB210023069,435,3915,9,435,2610,6,435
FB210023192,192.1,1832.63,9.539979177511713,192.1,1077.68,5.609994794377928,192.1
FB210023548,324,3823.2,11.799999999999999,NA,NA,NA,NA
FB210024365,176,1584,9,176,1056,6,176
FB210024645,291.1,3705.7,12.729989694263137,291.1,2075.54,7.1299896942631396,291.1
FB210024680,921.6099999999999,3945.86,4.281485660962881,921.6099999999999,2419.83,2.625655103568755,921.6099999999999
FB210025142,24.87,380.51,15.299959790912744,24.87,190.26,7.650180940892641,24.87
FB210028739,102.79,1104.1399999999999,10.74170639167234,NA,NA,NA,NA
FB210028930,2255.96,14945.89,6.625068706891966,2255.96,8965.519999999999,3.9741484778098894,2255.96
FB210028934,249.61,2883.3,11.551219903048755,249.61,1834.08,7.347782540763591,249.61
FB210033551,162.18,1643.08,10.131212233321001,162.18,1156.35,7.130040695523491,162.18
FB210035327,87,829.98,9.540000000000001,87,488.07,5.61,87
FB210035918,597.64,7368.46,12.329261762934209,597.64,4396.97,7.357221738839436,597.64
FB210038493,336.43,148.03,0.4400023779092233,336.43,235.5,0.6999970276134708,336.43
FB210038498,340.40999999999997,215.6,0.6333538967715402,340.40999999999997,267.8,0.786698393114186,340.40999999999997
FB210038522,1080.49,13554.98,12.545215596627456,1080.49,8173.07,7.564225490286814,1080.49
FB210044225,2421.73,30142.86,12.44682933274973,2421.73,17655.760000000002,7.290556750752562,2421.73
FB210050103,4.42,77.57,17.54977375565611,4.42,80.44,18.199095022624434,4.42
FB210052353,426.32,2585.3,6.064224057046351,426.32,1710.53,4.012314693188215,426.32
FB210060349,388.99,3909.3399999999997,10.049975577778348,388.99,2773.5,7.130003341988226,388.99
FB210061833,694.5,6625.53,9.54,694.5,3896.15,5.610007199424047,694.5
FB210062552,45.67,411.03,8.999999999999998,281.2,1577.53,5.6099928876244665,281.2
FB210064007,3681,41963.4,11.4,3681,23926.5,6.5,3681
FB210064901,245.38,1521.36,6.200016301247045,245.38,858.84,3.500040753117614,245.38
FB210067122,333.1,3856.55,11.57775442809967,333.1,2456.62,7.375022515761032,333.1
FB210067410,871.227,13068.41,15.000005739032423,NA,NA,NA,NA
FB210068066,498.03,6130.24,12.308977370841115,779.89,3951.7000000000003,5.066996627729552,779.89
FB210068067,347.47,4238.21,12.197340777621088,504.13,2739.0699999999997,5.433261261976077,504.13
FB210071611,600.9100000000001,6750.46,11.23372884458571,600.9100000000001,4286.8,7.133846998718609,600.9100000000001
FB210073106,695,8916.85,12.83,695,5942.25,8.55,695
FB210073498,366.21,4698.47,12.829988258103276,366.21,2611.08,7.130007372818874,366.21
FB210074438,107.13,1119.71,10.451880892373753,107.13,780.98,7.290021469242976,107.13
FB210074496,121.25999999999999,1401.82,11.560448622793997,121.25999999999999,892.1400000000001,7.357248886689759,121.25999999999999
FB210074501,15.65,239.45,15.300319488817891,15.65,119.72,7.649840255591054,15.65
FB220000019,258.18,2675.15,10.361569447672167,408.18,2910.33,7.130016169337057,408.18
FB220000043,217.65,2764.16,12.70002297266253,217.65,1786.91,8.210016080863772,217.65
FB220003307,1229.1100000000001,13145.400000000001,10.695055772062712,1229.1100000000001,8067.66,6.563822603347137,1229.1100000000001
FB220004062,967,12571,13,989,5548.29,5.61,989
FB220004108,568.31,6005.58,10.56743678626102,568.31,3779.74,6.650841970051556,568.31
FB220004109,906.02,9386.86,10.36054391735282,906.02,6604.889999999999,7.2900046356592565,906.02
FB220004111,733.3199999999999,7822.16,10.666775759559265,733.3199999999999,4827.530000000001,6.583115147548138,733.3199999999999
FB220004112,79.66,767.13,9.630052724077329,79.66,567.98,7.130052724077329,79.66
FB220004132,491.77,5201.9400000000005,10.577993777578952,491.77,3267.15,6.643654553958152,491.77
FB220004172,720.2500000000001,9084.19,12.612551197500867,720.2500000000001,5420.7,7.5261367580701135,720.2500000000001
FB220004173,918.77,10197.63,11.099219608824841,918.77,6426.14,6.994285838675621,918.77
FB220004193,495,4572.219999999999,9.23680808080808,495,3347.79,6.7632121212121215,495
FB220004195,393,3624.34,9.222239185750636,393,2679.7200000000003,6.818625954198474,393
FB220004202,924.45,9623.24,10.409692249445616,924.45,6591.33,7.130001622586402,924.45
FB220005933,692.02,3875.3199999999997,5.600011560359527,692.02,2449.76,3.540013294413457,692.02
FB220006726,125.755,1634.82,13.000039759850504,125.755,1383.31,11.000039759850504,125.755
FB220007895,1166,12826,11,1166,6996,6,1166
FB220007896,930,10230,11,NA,NA,NA,NA
FB220007910,166.7,2157.1,12.94001199760048,166.7,1631.99,9.789982003599281,166.7
FB220008591,665,5985,9,665,3990,6,665
FB220008609,35.5,436.65,12.299999999999999,NA,NA,NA,NA
FB220008617,37.5,485.25,12.94,37.5,345.38,9.210133333333333,37.5
FB220008855,303,3302.7,10.899999999999999,216,1276.56,5.91,216
FB220010186,693,9563.4,13.799999999999999,840,5460,6.5,840
FB220010931,690.333,6903.33,10,690.333,6868.81,9.949995147269506,690.333
FB220013220,1514.0600000000002,8269.2,5.46160654135239,1814.0600000000002,6920.64,3.8150006063746513,1814.0600000000002
FB220013400,82.203,747.23,9.090057540479059,NA,NA,NA,NA
FB220013401,84,763.56,9.09,NA,NA,NA,NA
FB220014751,328.69,4019.57,12.229060817183365,487.64,2595.8599999999997,5.323312279550487,487.64
FB220016564,785.71,9051.380000000001,11.520001018187372,785.71,8226.380000000001,10.469995290883405,785.71
FB220017881,445.7,5005.21,11.229997756338344,445.7,2500.38,5.610006730984968,445.7
FB220019140,245.99599999999998,2890.4500000000003,11.749987804679753,246,2263.2,9.2,246
FB220019141,150,1747.5,11.65,143.46,903.8,6.300013941168269,143.46
FB220019175,105.8,1246.33,11.780056710775046,NA,NA,NA,NA
FB220019367,810,9395,11.598765432098766,810,15715,19.401234567901234,810
FB220019704,487.78999999999996,5034.38,10.32079378421042,487.78999999999996,3555.99,7.290001845056274,487.78999999999996
FB220019726,444.87,5707.68,12.82999527951986,444.87,3171.92,7.129993031672174,444.87
FB220020101,18.31,205.44,11.220098306936102,18.31,130.73,7.139814309120699,18.31
FB220020913,401.4,3663.64,9.127154957648232,401.4,2422.61,6.035401096163429,401.4
FB220021094,150,1632,10.88,201,1507.5,7.5,201
FB220021098,197.37,2823.8399999999997,14.307341541267668,488.37,3940.41,8.068493150684931,488.37
FB220022787,650.4,6204.82,9.540006150061501,650.4,3648.74,5.609993849938499,650.4
FB220022808,200,2180,10.9,259.6,1640.67,6.319992295839754,259.6
FB220022837,942.6,13149.27,13.95,934.6,5523.49,5.910004279905841,934.6
FB220024484,720,8460,11.75,720.34,6713.57,9.32000166588,720.34
FB220024487,646,7538.82,11.67,646.48,4059.89,6.279993193911644,646.48
FB220026130,377,4331.73,11.489999999999998,396,2221.56,5.609999999999999,396
FB220026145,761.64,8606.53,11.299997374087496,761.64,6512.02,8.549997374087496,761.64
FB220026146,876.3199999999999,10068.92,11.490003651634106,876.32,5538.34,6.31999726127442,876.32
FB220026638,832,8827.52,10.610000000000001,832,4975.360000000001,5.98,832
FB220028670,589.443,6189.66,10.500862678834086,554.088,4795.57,8.654888754132918,554.088
FB220030598,20.985,210.82,10.04622349297117,21.12,141.29,6.689867424242424,21.12
FB220030661,56.49,534.62,9.463975924942467,56.49,379.83,6.723844928305894,56.49
FB220030747,273.41,2925.49,10.700010972532093,273.41,1708.81,6.249990856223254,273.41
FB220030797,429.14,5401.55,12.586918022090694,794.97,3460.42,4.352893819892574,794.97
FB220030977,906.9799999999999,9300.6,10.254470881386581,1277.5299999999997,6982.43,5.465570280149978,1277.5299999999997
FB220030998,155.73,1878.1,12.059975598792782,155.73,1110.35,7.12996853528543,155.73
FB220031780,609.121,6005.4000000000005,9.859124870099702,NA,NA,NA,NA
FB220033229,662,6315.48,9.54,662,3713.82,5.61,662
FB220035304,1275.35,15638.46,12.262092758850512,1275.35,9431.61,7.39531109107304,1275.35
FB220035309,596.16,3911.29,6.560805823939882,596.16,2390.8999999999996,4.010500536768652,596.16
FB220035736,93.229,1208.95,12.967531562067597,93.229,879.15,9.430005684926364,93.229
FB220035739,55,640.75,11.65,61.1,383.71,6.280032733224222,61.1
FB220035746,637,7765.03,12.19,637,5172.44,8.12,637
FB220036538,927.884,10902.64,11.750003233162765,941.885,7299.610000000001,7.750001327125924,941.885
FB220037013,885,7965,9,885,5310,6,885
FB220038340,170.785,1793.24,10.499985361712094,176.485,1623.66,9.199988667592146,176.485
FB220038341,294,3381,11.5,294,1911,6.5,294
FB220042764,478.01,5944.84,12.436643584862242,478.01,3645.1400000000003,7.6256563670216115,478.01
FB220042778,655.46,7532.280000000001,11.491593689927685,655.46,4776.01,7.286501083208739,655.46
FB220042779,350.49,4026.91,11.489372022026306,350.49,2553.04,7.284202117036149,350.49
FB220042897,187.92,2207.57,11.74739250744998,187.92,1349.49,7.181194125159643,187.92
FB220044462,324.5,4095.95,12.622342064714946,324.5,2440.44,7.520616332819722,324.5
FB220046077,2697.2,17975.239999999998,6.664407533738692,2697.2,10659.070000000002,3.9519019724158393,2697.2
FB220047121,805.97,8580.5,10.646177897440351,805.97,5066.679999999999,6.28643746045138,805.97
FB220047122,582.06,3187.6099999999997,5.4764285468852005,582.06,2220.5699999999997,3.8150190701989484,582.06
FB220049055,322.21000000000004,4320.7699999999995,13.409794854287574,322.21000000000004,2584.3,8.020545606902331,322.21000000000004
FB220049063,213.78,1211.07,5.665029469548133,NA,NA,NA,NA
FB220050025,856.22,12345.460000000001,14.418560650300158,856.22,6104.85,7.130001635093785,856.22
FB220050815,42.75,457.43,10.700116959064328,42.75,281.3,6.580116959064328,42.75
FB220050819,578.8499999999999,7246.15,12.518182603437852,578.8499999999999,4387.4,7.579511099594023,578.8499999999999
FB220052639,298.63,5972.6,20,298.63,5375.34,18,298.63
FB220052876,58,750.52,12.94,58,534.18,9.209999999999999,58
FB220053012,80.616,1048.01,13.000024808970924,80.616,1048.01,13.000024808970924,80.616
