"ID_FB","VOL_REEL_ABA_M3","COUT_TOTAL_ABA","COUT_ABA_TERRE_M3","VOL_REEL_DEB_M3","COUT_TOTAL_DEB","COUT_DEB_TERRE_M3","VOL_REF","COUTS_ANNEXES_TOTAL","COUTS_ANNEXES_M3","TARIF_PRESTA_TERRE_M3","TARIF_PRESTA_TERRE_TOT"
"FB200015735",157.95,1626.89,10.3000316555872,315.9,1061.42,3.35998733776512,315.9,78.98,0.250015827793606,13.9100348211459,2767.29
"FB200024865",583,6996,12,883,5810.14,6.58,883,0,0,18.58,12806.14
"FB200069430",190.61,2343.73,12.2959445989193,190.61,1405.96,7.37610828393054,190.61,0,0,19.6720528828498,3749.69
"FB210006823",170.5,2206.27,12.94,170.5,1563.49,9.1700293255132,170.5,0,0,22.1100293255132,3769.76
"FB210021530",162,1636.2,10.1,162,999.54,6.17,162,0,0,16.27,2635.74
"FB210021624",364,3676.4,10.1,364,2042.04,5.61,364,0,0,15.71,5718.44
"FB210022193",88.9,849.88,9.5599550056243,98.3,905,9.20651068158698,98.3,0,0,18.7664656872113,1754.88
"FB210022802",154.8,1893.2,12.2299741602067,NA,NA,NA,NA,0,0,NA,NA
"FB210022834",70,651,9.3,NA,NA,NA,NA,0,0,NA,NA
"FB210023069",435,3915,9,435,2610,6,435,0,0,15,6525
"FB210023192",192.1,1832.63,9.53997917751171,192.1,1077.68,5.60999479437793,192.1,0,0,15.1499739718896,2910.31
"FB210023548",324,3823.2,11.8,NA,NA,NA,NA,0,0,NA,NA
"FB210024365",176,1584,9,176,1056,6,176,0,0,15,2640
"FB210024645",291.1,3705.7,12.7299896942631,291.1,2075.54,7.12998969426314,291.1,0,0,19.8599793885263,5781.24
"FB210024680",921.61,3945.86,4.28148566096288,921.61,2419.83,2.62565510356875,921.61,0,0,6.90714076453164,6365.69
"FB210025142",24.87,380.51,15.2999597909127,24.87,190.26,7.65018094089264,24.87,0,0,22.9501407318054,570.77
"FB210028739",102.79,1104.14,10.7417063916723,NA,NA,NA,NA,0,0,NA,NA
"FB210028930",2255.96,14945.89,6.62506870689197,2255.96,8965.52,3.97414847780989,2255.96,0,0,10.5992171847019,23911.41
"FB210028934",249.61,2883.3,11.5512199030488,249.61,1834.08,7.34778254076359,249.61,0,0,18.8990024438123,4717.38
"FB210033551",162.18,1643.08,10.131212233321,162.18,1156.35,7.13004069552349,162.18,0,0,17.2612529288445,2799.43
"FB210035327",87,829.98,9.54,87,488.07,5.61,87,0,0,15.15,1318.05
"FB210035918",597.64,7368.46,12.3292617629342,597.64,4396.97,7.35722173883944,597.64,0,0,19.6864835017736,11765.43
"FB210038493",336.43,148.03,0.440002377909223,336.43,235.5,0.699997027613471,336.43,0,0,1.13999940552269,383.53
"FB210038498",340.41,215.6,0.63335389677154,340.41,267.8,0.786698393114186,340.41,0,0,1.42005228988573,483.4
"FB210038522",1080.49,13554.98,12.5452155966275,1080.49,8173.07,7.56422549028681,1080.49,0,0,20.1094410869143,21728.05
"FB210044225",2421.73,30142.86,12.4468293327497,2421.73,17655.76,7.29055675075256,2421.73,0,0,19.7373860835023,47798.62
